Type	POS	Headword	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
witch	None	None	1	34	138	1	1	1135.187	181.925	1.000	1.000	62.090	0.002
hook	None	None	2	24	77	1	1	801.309	101.509	1.000	1.000	52.204	0.002
sheep	None	None	3	20	49	1	1	667.757	64.597	1.000	1.000	51.549	0.001
darling	None	None	4	25	92	1	1	834.697	121.284	1.000	1.000	49.273	0.002
boa	None	None	5	11	13	1	1	367.267	17.138	1.000	1.000	39.859	0.001
drawing	None	None	6	20	83	1	1	667.757	109.419	1.000	1.000	35.863	0.001
ups	None	None	7	12	23	1	1	400.654	30.321	1.000	1.000	35.275	0.001
constrictor	None	None	8	8	8	1	1	267.103	10.546	1.000	1.000	30.770	0.001
nana	None	None	9	15	53	1	1	500.818	69.870	1.000	1.000	30.467	0.001
dorothy	None	None	10	40	364	1	1	1335.515	479.861	1.000	1.000	28.954	0.003
fire	None	None	11	27	187	1	1	901.472	246.522	1.000	1.000	28.879	0.002
part	None	None	12	33	268	1	1	1101.800	353.304	1.000	1.000	28.489	0.002
hysterics	None	None	13	9	16	1	1	300.491	21.093	1.000	1.000	27.441	0.001
wicked	None	None	14	19	103	1	1	634.369	135.785	1.000	1.000	26.728	0.001
scream	None	None	15	10	29	1	1	333.879	38.231	1.000	1.000	23.257	0.001
smee	None	None	16	11	37	1	1	367.267	48.777	1.000	1.000	23.148	0.001
lion	None	None	17	24	186	1	1	801.309	245.204	1.000	1.000	22.141	0.002
asteroid	None	None	18	6	7	1	1	200.327	9.228	1.000	1.000	21.845	0.000
lad	None	None	19	11	47	1	1	367.267	61.960	1.000	1.000	19.252	0.001
